name                                  x         y          z     typ   spect         mass  m.unit    radius  unit     temp  orbits   orbit params - semimajor axis, period, excentricity

Proxima Centauri                 ,  2.945  , -3.056  ,  -0.143  , S   ,M5 Ve  ,     0.12  ,  Ms  ,  0.14  ,  Rs    ,  3050  , AB ,  10000*  ,              , 
Epsilon Eridani b                , -6.753  , -1.917  ,  -7.811  , PJ  ,       ,     0.65  ,  Mj  ,  1     ,  Rj?   ,   100  , A  ,  3.53    ,    7.3       ,     0.06
Epsilon Eridani c                , -6.753  , -1.917  ,  -7.811  , PN? ,       ,     32    ,  Me  ,  6     ,  Re?   ,    31  , A  ,  40      ,    280       ,      0.3
Lacaille 9352                    ,  4.352  ,  0.388  ,  -9.794  , S   ,M1 V   ,     0.53  ,  Ms  ,  0.63  ,  Rs    ,  3530  ,    ,          ,              , 
Lacaille 9352 b                  ,  4.352  ,  0.388  ,  -9.794  , PT  ,       ,     4.8   ,  Me  ,  1.6   ,  Re?   ,   440  ,    ,  0.068   ,    0.025     , 
Lacaille 9352 c                  ,  4.352  ,  0.388  ,  -9.794  , PN  ,       ,     9     ,  Me  ,  3     ,  Re?   ,   330  ,    ,  0.12    ,    0.0597    , 
Ross 128                         ,  0.014  , -5.577  ,   9.490  , S   ,M4 V   ,     0.16  ,  Ms  ,  0.28  ,  Rs    ,  2990  ,    ,          ,              , 
Ross 128 b                       ,  0.014  , -5.577  ,   9.490  , PT  ,       ,     1.6   ,  Me  ,  1.15  ,  Re?   ,   290  , A  ,  0.050   ,    0.027     ,     0.12
EZ Aquarii A                     ,  4.123  ,  4.432  ,  -9.315  , S   ,M5 V   ,     0.122 ,  Ms  ,  0.15  ,  Rs    ,  2900  ,    ,          ,              , 
EZ Aquarii B                     ,  4.123  ,  4.432  ,  -9.315  , S   ,M V    ,     0.116 ,  Ms  ,        ,        ,        , A  ,  1.2     ,    2.25      ,    0.446
EZ Aquarii C                     ,  4.123  ,  4.432  ,  -9.315  , S   ,M V    ,     0.096 ,  Ms  ,        ,        ,        , A  ,  0.08    ,    0.0104    ,        0
61 Cygni A                       ,  1.516  , 11.244  ,  -1.156  , S   ,K5 V   ,     0.7   ,  Ms  ,  0.6   ,  Rs    ,  4570  ,    ,          ,              , 
61 Cygni B                       ,  1.517  , 11.243  ,  -1.158  , S   ,K7 V   ,     0.63  ,  Ms  ,  0.74  ,  Rs    ,  3930  , A  ,  86.2    ,    722       ,    0.401
Procyon A                        , -9.270  , -6.183  ,   2.577  , S   ,F5 IV-V,     1.48  ,  Ms  ,  1.9   ,  Rs    ,  6800  ,    ,          ,              , 
Procyon B                        , -9.270  , -6.183  ,   2.577  , WD  ,DQZ    ,     0.59  ,  Ms  ,  0.12  ,  Rj    ,  7740  , A  ,  15.14   ,    40.84     ,    0.398
HD 173739                        ,  0.130  , 10.478  ,   4.716  , S   ,M3 V   ,     0.35  ,  Ms  ,  0.35  ,  Rs    ,  3480  ,    ,          ,              , 
HD 173740                        ,  0.131  , 10.478  ,   4.716  , S   ,M3.5 V ,     0.26  ,  Ms  ,  0.29  ,  Rs    ,  3360  , A  ,  55.2    ,    453       ,     0.53
2MASS J18121245-2608024          ,         ,         ,          , BD? ,T?     ,           ,      ,        ,        ,        ,    ,          ,              , 
Groombridge 34 A                 , -4.949  ,  9.849  ,  -3.677  , S   ,M1 V   ,     0.38  ,  Ms  ,  0.38  ,  Rs    ,  3610  ,    ,          ,              , 
Groombridge 34 Ab                , -4.949  ,  9.849  ,  -3.677  , PT  ,       ,     3.5   ,  Me  ,  1.45  ,  Re?   ,   340  , A  ,  0.072   ,    0.03132   ,     0.09
Groombridge 34 Ac                , -4.949  ,  9.849  ,  -3.677  , PN  ,       ,     41    ,  Me  ,  7     ,  Re?   ,    39  , A  ,  5.4     ,    21        ,     0.27
Groombridge 34 B                 , -4.951  ,  9.849  ,  -3.676  , S   ,M3.5 V ,     0.15  ,  Ms  ,  0.18  ,  Rs    ,  3300  , A  ,  93      ,    1230      ,     0.53
DX Cancri                        , -9.428  , -2.885  ,   6.262  , S   ,M6 V   ,     0.09  ,  Ms  ,  0.88  ,  Rj    ,  2460  ,    ,          ,              , 
Epsilon Indi A                   ,  7.259  , -3.203  ,  -8.825  , S   ,K5 V   ,     0.77  ,  Ms  ,  0.79  ,  Rs    ,  4571  ,    ,          ,              , 
Epsilon Indi Ab                  ,  7.259  , -3.203  ,  -8.825  , PJ  ,       ,     3.2   ,  Mj  ,  1     ,  Rj?   ,    48  , A  ,  11.6    ,    53        ,     0.26
Epsilon Indi B                   ,  7.207  , -3.191  ,  -8.799  , BD  ,T1     ,     47    ,  Mj  ,  0.9   ,  Rj    ,  1280  , A  ,  1500*   ,              , 
Epsilon Indi C                   ,  7.207  , -3.191  ,  -8.799  , BD  ,T6     ,     28    ,  Mj  ,  1     ,  Rj    ,   850  , B  ,  2.65    ,    15.5      , 
Tau Ceti                         , -3.369  ,  0.408  , -11.412  , S   ,G8.5 V ,     0.92  ,  Ms  ,  0.81  ,  Rs    ,  5420  ,    ,          ,              , 
Tau Ceti b                       , -3.369  ,  0.408  , -11.412  , PT? ,       ,     2.0   ,  Me  ,  1.2   ,  Re?   ,   610  , A  ,  0.105   ,    0.0382    ,     0.16
Tau Ceti g                       , -3.369  ,  0.408  , -11.412  , PT  ,       ,     2.0   ,  Me  ,  1.2   ,  Re?   ,   540  , A  ,  0.133   ,    0.0548    ,     0.06
Tau Ceti c                       , -3.369  ,  0.408  , -11.412  , PT? ,       ,     3.1   ,  Me  ,  1.4   ,  Re?   ,   450  , A  ,  0.195   ,    0.0969    ,     0.03
Tau Ceti h                       , -3.369  ,  0.408  , -11.412  , PT  ,       ,     2.1   ,  Me  ,  1.25  ,  Re?   ,   400  , A  ,  0.243   ,    0.1352    ,     0.23
Tau Ceti d                       , -3.369  ,  0.408  , -11.412  , PT? ,       ,     3.5   ,  Me  ,  1.45  ,  Re?   ,   320  , A  ,  0.37    ,    0.258     ,     0.08
Tau Ceti e                       , -3.369  ,  0.408  , -11.412  , PT  ,       ,     4.5   ,  Me  ,  1.6   ,  Re?   ,   270  , A  ,  0.54    ,    0.446     ,     0.18
Tau Ceti f                       , -3.369  ,  0.408  , -11.412  , PT  ,       ,     4.5   ,  Me  ,  1.6   ,  Re?   ,   170  , A  ,  1.33    ,    1.74      ,     0.16
Tau Ceti I                       , -3.369  ,  0.408  , -11.412  , PJ? ,       ,     1.5   ,  Mj  ,  1     ,  Rj?   ,    60  ,    ,  11      ,    38        , 
Luyten 372-58                    , -2.249  , -6.869  ,  -9.559  , S   ,M5 V   ,     0.11  ,  Ms  ,  0.15  ,  Rs    ,  2900  ,    ,          ,              , 
Luyten 372-58 b                  , -2.249  , -6.869  ,  -9.559  , PT  ,       ,     1.7   ,  Me  ,  1.2   ,  Re?   ,   310  ,    ,  0.021   ,    0.00877   ,      0.2
Luyten 372-58 c                  , -2.249  , -6.869  ,  -9.559  , PT  ,       ,     2.0   ,  Me  ,  1.2   ,  Re?   ,   240  ,    ,  0.035   ,    0.0183    ,      0.2
Luyten 372-58 d                  , -2.249  , -6.869  ,  -9.559  , PT  ,       ,     1.8   ,  Me  ,  1.2   ,  Re?   ,   200  ,    ,  0.052   ,    0.03403   ,      0.4
YZ Ceti                          , -2.040  ,  1.192  , -11.890  , S   ,M4 Ve  ,     0.13  ,  Ms  ,  0.3   ,  Rs    ,  2800  ,    ,          ,              , 
YZ Ceti e                        , -2.040  ,  1.192  , -11.890  , PT? ,       ,     0.55  ,  Me  ,  0.8   ,  Re?   ,   620  ,    ,  0.010   ,    0.0028    , 
YZ Ceti b                        , -2.040  ,  1.192  , -11.890  , PT  ,       ,     0.8   ,  Me  ,  0.9   ,  Re?   ,   490  , A  ,  0.016   ,    0.00553   ,      0.0
YZ Ceti c                        , -2.040  ,  1.192  , -11.890  , PT  ,       ,     1.3   ,  Me  ,  1.1   ,  Re?   ,   420  , A  ,  0.022   ,    0.0084    ,     0.04
YZ Ceti d                        , -2.040  ,  1.192  , -11.890  , PT  ,       ,     1.3   ,  Me  ,  1.1   ,  Re?   ,   360  , A  ,  0.029   ,    0.0127    ,     0.13
Luyten's star                    ,-10.262  , -6.499  ,   2.224  , S   ,M3.5 V ,     0.26  ,  Ms  ,  0.3   ,  Rs    ,  3330  ,    ,          ,              , 
Luyten's star c                  ,-10.262  , -6.499  ,   2.224  , PT  ,       ,     1.2   ,  Me  ,  1.05  ,  Re?   ,   390  , A  ,  0.036   ,    0.01293   ,     0.17
Luyten's star b                  ,-10.262  , -6.499  ,   2.224  , PT  ,       ,     2.9   ,  Me  ,  1.4   ,  Re?   ,   240  , A  ,  0.091   ,    0.05103   ,      0.1
Luyten's star d                  ,-10.262  , -6.499  ,   2.224  , PN  ,       ,     11    ,  Me  ,  3.5   ,  Re?   ,    88  ,    ,  0.71    ,    1.13      ,      0.0
Luyten's star e                  ,-10.262  , -6.499  ,   2.224  , PN  ,       ,     9     ,  Me  ,  3     ,  Re?   ,    80  ,    ,  0.85    ,    1.48      ,      0.0
Teegarden's Star                 , -9.391  ,  3.369  ,  -7.526  , S   ,M6.5 V ,     0.08  ,  Ms  ,  0.12  ,  Rs    ,  2700  ,    ,          ,              , 
Teegarden's Star b               , -9.391  ,  3.369  ,  -7.526  , PT  ,       ,     1.2   ,  Me  ,  1.05  ,  Re?   ,   240  ,    ,  0.025   ,    0.0134    ,      0.0
Teegarden's Star c               , -9.391  ,  3.369  ,  -7.526  , PT  ,       ,     1.3   ,  Me  ,  1.1   ,  Re?   ,   180  ,    ,  0.044   ,    0.03124   ,      0.0
Kapteyn's star                   , -3.460  , -9.787  ,  -7.542  , S   ,M2 VI  ,     0.39  ,  Ms  ,  0.45  ,  Rs    ,  3400  ,    ,          ,              , 
Kapteyn's star c                 , -3.460  , -9.787  ,  -7.542  , PT? ,       ,     4.6   ,  Me  ,  1.6   ,  Re?   ,   220  , A  ,  0.17    ,    0.33      ,     0.23
Kapteyn's star b                 , -3.460  , -9.787  ,  -7.542  , PN? ,       ,     8     ,  Me  ,  2.7   ,  Re?   ,   170  , A  ,  0.31    ,    0.13      ,     0.07
Lacaille 8760                    ,  9.252  ,  0.631  ,  -9.036  , S   ,K9 V   ,     0.6   ,  Ms  ,  0.8   ,  Rs    ,  3720  ,    ,          ,              , 
DENIS J184504.9-635747 A         , 10.530  , -5.713  ,  -5.211  , BD  ,M8.5 V ,     73    ,  Mj  ,  0.08  ,  Rs    ,  2600  ,    ,          ,              , 
DENIS J184504.9-635747 B         , 10.519  , -5.707  ,  -5.205  , BD  ,T5.5   ,     37    ,  Mj  ,  0.88  ,  Rj    ,   970  , A  ,  4.5     ,    37        , 
Kruger 60 A                      , -3.316  , 12.651  ,  -0.001  , S   ,M3 V   ,     0.28  ,  Ms  ,  0.38  ,  Rs    ,  3250  ,    ,          ,              , 
Kruger 60 B                      , -3.316  , 12.651  ,  -0.001  , S   ,M4 V   ,     0.16  ,  Ms  ,  0.2   ,  Rs    ,  3200  , A  ,  9.76    ,    44.64     ,     0.41
DENIS J104814.7-395606           ,  1.904  ,-12.468  ,   3.872  , S   ,M8.5 V ,     0.08  ,  Ms  ,  1.07  ,  Rj    ,  2300  ,    ,          ,              , 
Ross 614 A                       ,-11.202  , -7.255  ,  -1.447  , S   ,M4.5 Ve,     0.17  ,  Ms  ,  0.27  ,  Rs    ,  3100  ,    ,          ,              , 
Ross 614 B                       ,-11.202  , -7.255  ,  -1.447  , S   ,M V    ,     0.1   ,  Ms  ,        ,        ,        , A  ,  3.9     ,    16.6      ,     0.38
WISEP J072227.27-054029.9        ,-10.027  , -8.883  ,   1.000  , BD  ,T9     ,     18    ,  Mj  ,  0.98  ,  Rj    ,   570  ,    ,          ,              , 
Wolf 1061                        , 12.845  ,  0.752  ,   5.643  , S   ,M3.5 V ,     0.26  ,  Ms  ,  0.34  ,  Rs    ,  3270  ,    ,          ,              , 
Wolf 1061 b                      , 12.845  ,  0.752  ,   5.643  , PT  ,       ,     2.2   ,  Me  ,  1.3   ,  Re?   ,   400  , A  ,  0.038   ,    0.01338   ,     0.15
Wolf 1061 c                      , 12.845  ,  0.752  ,   5.643  , PT  ,       ,     3.9   ,  Me  ,  1.5   ,  Re?   ,   260  , A  ,  0.089   ,    0.04893   ,      0.1
Wolf 1061 d                      , 12.845  ,  0.752  ,   5.643  , PN  ,       ,     9     ,  Me  ,  3     ,  Re?   ,   110  , A  ,  0.47    ,    0.5947    ,     0.55
van Maanen's Star                , -3.996  ,  6.424  , -11.865  , WD  ,DZ7    ,     0.68  ,  Ms  ,  0.1   ,  Rj    ,  6300  ,    ,          ,              , 
Wolf 424 A                       ,  1.448  , -4.264  ,  13.375  , S   ,M5 V   ,     0.12  ,  Ms  ,  0.17  ,  Rs    ,  2900  ,    ,          ,              , 
Wolf 424 B                       ,  1.498  , -4.410  ,  13.832  , S   ,M V    ,     0.12  ,  Ms  ,        ,        ,        , A  ,  4       ,    16.2      ,     0.28
HD 225213                        ,  3.311  , -0.977  , -13.748  , S   ,M1.5 V ,     0.48  ,  Ms  ,  0.45  ,  Rs    ,  3570  ,    ,          ,              , 
2MASS J04292568+3806095          ,-13.630  ,  4.128  ,  -1.799  , BD? ,T?     ,           ,      ,        ,        ,        ,    ,          ,              , 
TZ Arietis                       , -8.480  ,  5.369  , -10.573  , S   ,M4 V   ,     0.14  ,  Ms  ,  0.14  ,  Rs    ,  3200  ,    ,          ,              , 
TZ Arietis b                     , -8.480  ,  5.369  , -10.573  , PN  ,       ,     36    ,  Me  ,  7     ,  Re?   ,    76  ,    ,  0.403   ,    0.663     ,      0.2
TZ Arietis c                     , -8.480  ,  5.369  , -10.573  , PJ  ,       ,     84    ,  Me  ,  1     ,  Rj?   ,    52  ,    ,  0.88    ,    2.114     ,     0.49
BD+68 946                        , -1.883  , 12.448  ,   7.856  , S   ,M3 V   ,     0.39  ,  Ms  ,  0.4   ,  Rs    ,  3480  ,    ,          ,              , 
BD+68 946 b                      , -1.883  , 12.448  ,   7.856  , PN  ,       ,     20    ,  Me  ,  5     ,  Re?   ,   220  , A  ,  0.163   ,    0.10442   ,     0.17
BD+68 946 c                      , -1.883  , 12.448  ,   7.856  , PN  ,       ,     18    ,  Me  ,  4.5   ,  Re?   ,    83  ,    ,  1.16    ,    1.99      ,      0.4
CD-46 11540                      , 14.102  , -4.310  ,  -1.752  , S   ,M2.5 V ,     0.36  ,  Ms  ,  0.31  ,  Rs    ,  3600  ,    ,          ,              , 
CD-46 11540 b                    , 14.102  , -4.310  ,  -1.752  , PN  ,       ,     15    ,  Me  ,  1.1   ,  Rj    ,   410  , A  ,  0.039   ,    0.01285   ,     0.07
LHS 292                          , -1.749  ,-11.036  ,   9.813  , S   ,M6.5 V ,     0.08  ,  Ms  ,  0.15  ,  Rs    ,  2600  ,    ,          ,              , 
Luyten 145-141                   ,  6.625  ,-13.574  ,  -0.753  , WD  ,DQ6    ,     0.61  ,  Ms  ,  0.1   ,  Rj    ,  7880  ,    ,          ,              , 
V1581 Cygni A                    ,  2.905  , 14.752  ,   2.250  , S   ,M5.5 V ,     0.11  ,  Ms  ,  0.24  ,  Rs    ,  2720  ,    ,          ,              , 
V1581 Cygni B                    ,  2.905  , 14.752  ,   2.250  , S   ,M V    ,     0.08  ,  Ms  ,  0.06  ,  Rs    ,  2500  , A  ,  3.6     ,    15.22     ,     0.32
V1581 Cygni C                    ,  2.905  , 14.750  ,   2.249  , S   ,M6 V   ,     0.1   ,  Ms  ,  0.34  ,  Rs    ,  2500  , AB ,  36      ,    600       , 
Ross 780                         ,  4.743  ,  6.071  , -13.148  , S   ,M3.5 V ,     0.334 ,  Ms  ,  0.36  ,  Rs    ,  3350  ,    ,          ,              , 
Ross 780 d                       ,  4.743  ,  6.071  , -13.148  , PN  ,       ,     6.91  ,  Me  ,  2.5   ,  Re?   ,   560  , A  ,  0.021   ,    0.00531   ,     0.08
Ross 780 c                       ,  4.743  ,  6.071  , -13.148  , PJ  ,       ,     0.7   ,  Mj  ,  1     ,  Rj?   ,   220  , A  ,  0.134   ,    0.08249   ,     0.25
Ross 780 b                       ,  4.743  ,  6.071  , -13.148  , PJ  ,       ,     3.6   ,  Mj  ,  1     ,  Rj?   ,   180  , A  ,  0.214   ,    0.1671    ,    0.002
Ross 780 e                       ,  4.743  ,  6.071  , -13.148  , PN  ,       ,     15    ,  Me  ,  4     ,  Re?   ,   140  , A  ,  0.345   ,    0.3406    ,     0.04
Luyten 143-23                    ,  4.928  ,-14.958  ,  -0.555  , S   ,M5.5 V ,     0.11  ,  Ms  ,  0.15  ,  Rs    ,  2860  ,    ,          ,              , 
2MASS J23400761+4625080          , -5.307  , 14.325  ,  -4.008  , BD? ,T?     ,           ,      ,        ,        ,        ,    ,          ,              , 
LHS 2                            , -0.258  ,  5.986  , -14.627  , S   ,M5 V   ,     0.11  ,  Ms  ,  0.14  ,  Rs    ,  2900  ,    ,          ,              , 
DENIS J025503.3-470049           , -1.350  , -8.144  , -13.563  , BD  ,L7.5 V ,     65    ,  Mj  ,  1.1   ,  Rj    ,  1400  ,    ,          ,              , 
Groombridge 1618                 , -9.453  ,  2.380  ,  12.543  , S   ,K7 V   ,     0.64  ,  Ms  ,  0.84  ,  Rs    ,  3890  ,    ,          ,              , 
Lalande 21258 A                  , -7.099  ,  1.444  ,  14.263  , S   ,M1 V   ,     0.48  ,  Ms  ,  0.49  ,  Rs    ,  3510  ,    ,          ,              , 
Lalande 21258 B                  , -7.099  ,  1.444  ,  14.268  , S   ,M5.5 V ,     0.1   ,  Ms  ,  0.13  ,  Rs    ,  2800  , A  ,  135*    ,              , 
Lalande 21258 Bb                 , -7.099  ,  1.444  ,  14.268  , P?  ,       ,           ,      ,        ,        ,    27  ,    ,  1.8     ,    7.4       , 
WISE J163940.83-684738.6         , 12.167  , -9.781  ,  -4.032  , BD  ,Y0     ,           ,      ,        ,        ,   400  ,    ,          ,              , 
AD Leonis                        , -7.549  , -5.577  ,  13.197  , S   ,M2.5 Ve,     0.39  ,  Ms  ,  0.42  ,  Rs    ,  3450  ,    ,          ,              , 
AD Leonis b                      , -7.549  , -5.577  ,  13.197  , PN? ,       ,     27    ,  Me  ,  6     ,  Re?   ,   570  ,    ,  0.025   ,    0.00608   ,     0.03
HD 204961                        , 10.984  , -2.101  , -11.722  , S   ,M1.5 V ,     0.5   ,  Ms  ,  0.59  ,  Rs    ,  3440  ,    ,          ,              , 
HD 204961 c                      , 10.984  , -2.101  , -11.722  , PN  ,       ,     6.2   ,  Me  ,  2.5   ,  Re?   ,   270  , A  ,  0.16    ,    0.09768   ,      0.2
HD 204961 b                      , 10.984  , -2.101  , -11.722  , PJ  ,       ,     0.88  ,  Mj  ,  1     ,  Rj?   ,    56  , A  ,  3.6     ,    10        ,     0.08
CD-44 11909                      , 15.741  , -3.929  ,  -1.887  , S   ,M4 V   ,     0.2   ,  Ms  ,  0.32  ,  Rs    ,  3170  ,    ,          ,              , 
CD-44 11909 b                    , 15.741  , -3.929  ,  -1.887  , PT  ,       ,     4.0   ,  Me  ,  1.5   ,  Re?   ,   260  ,    ,  0.08    ,    0.0479    ,     0.08
CD-44 11909 c                    , 15.741  , -3.929  ,  -1.887  , PN  ,       ,     9     ,  Me  ,  3     ,  Re?   ,   170  ,    ,  0.18    ,    0.157     ,      0.1
Omicron2 Eridani A               ,-12.033  , -4.560  , -10.071  , S   ,K0.5 V ,     0.78  ,  Ms  ,  0.81  ,  Rs    ,  5070  ,    ,          ,              , 
Omicron2 Eridani A b             ,-12.033  , -4.560  , -10.071  , PN  ,       ,     10    ,  Me  ,  3     ,  Re?   ,   400  , A  ,  0.22    ,    0.116     ,     0.04
Omicron2 Eridani B               ,-12.029  , -4.563  , -10.063  , WD  ,DA4    ,     0.43  ,  Ms  ,  1.4   ,  Re    , 16200  , A  ,  500*    ,              , 
Omicron2 Eridani C               ,-12.044  , -4.568  , -10.075  , S   ,M4 V   ,     0.18  ,  Ms  ,  0.27  ,  Rs    ,  3200  , B  ,  34.6    ,    252.1     ,     0.41
EV Lacertae                      , -2.954  , 15.775  ,  -3.726  , S   ,M3.5 V ,     0.28  ,  Ms  ,  0.31  ,  Rs    ,  3400  ,    ,          ,              , 
70 Ophiuchi A                    , 14.200  ,  8.163  ,   3.293  , S   ,K0 V   ,     0.92  ,  Ms  ,  1.02  ,  Rs    ,  5023  ,    ,          ,              , 
70 Ophiuchi B                    , 14.200  ,  8.163  ,   3.292  , S   ,K5 V   ,     0.7   ,  Ms  ,  0.64  ,  Rs    ,  4500  , A  ,  23.3    ,    88.34     ,      0.5
Altair                           , 11.115  , 12.234  ,  -2.591  , S   ,A7 IV-V,n    1.71  ,  Ms  ,  1.81  ,  Rs    ,  7760  ,    ,          ,              , 
EI Cancri A                      ,-11.979  , -6.249  ,   9.985  , S   ,M5.5 V ,     0.11  ,  Ms  ,  0.17  ,  Rs    ,  2800  ,    ,          ,              , 
EI Cancri B                      ,-11.943  , -6.231  ,   9.955  , S   ,M7 V   ,     0.1   ,  Ms  ,        ,        ,  2500  , A  ,  24      ,    50        , 
WISE J150649.97+702736.1         , -3.879  , 11.755  ,  11.385  , BD  ,T6     ,           ,      ,        ,        ,   900  ,    ,          ,              , 
G 99-49                          ,-15.208  , -6.951  ,  -2.991  , S   ,M3.5 V ,     0.19  ,  Ms  ,  0.21  ,  Rs    ,  3350  ,    ,          ,              , 
DENIS J081730.0-615520           ,  1.737  ,-16.376  ,  -4.228  , BD  ,T6     ,     44    ,  Mj  ,  0.94  ,  Rj    ,  1000  ,    ,          ,              , 
LHS 2459                         , -8.104  , 10.814  ,  10.538  , S   ,M3.5 V ,     0.24  ,  Ms  ,  0.28  ,  Rs    ,  3330  ,    ,          ,              , 
WISEA J154045.67-510139.3        , 14.713  , -9.182  ,   1.032  , S   ,M7 V   ,     0.09  ,  Ms  ,        ,        ,  2500  ,    ,          ,              , 
WISEA J093935.93-244838.9        , -3.694  ,-15.891  ,   6.089  , BD  ,T8 V   ,     34    ,  Mj  ,  0.95  ,  Rj    ,   700  ,    ,          ,              , 
LHS 1723                         ,-13.929  , -6.923  ,  -8.087  , S   ,M4 V   ,     0.15  ,  Ms  ,  0.18  ,  Rs    ,  3200  ,    ,          ,              , 
LHS 1723 b                       ,-13.929  , -6.923  ,  -8.087  , PT  ,       ,     2.3   ,  Me  ,  1.3   ,  Re?   ,   300  ,    ,  0.033   ,    0.01468   ,      0.2
LHS 1723 c                       ,-13.929  , -6.923  ,  -8.087  , PT  ,       ,     2.7   ,  Me  ,  1.35  ,  Re?   ,   160  ,    ,  0.126   ,    0.111     ,      0.2
Wolf 498                         ,  5.298  , -0.785  ,  16.898  , S   ,M1 V   ,     0.53  ,  Ms  ,  0.54  ,  Rs    ,  3630  ,    ,          ,              , 
Stein 2051 A                     ,-15.151  ,  9.430  ,   2.290  , S   ,M4 V   ,     0.24  ,  Ms  ,  0.32  ,  Rs    ,  3200  ,    ,          ,              , 
Stein 2051 B                     ,-15.152  ,  9.430  ,   2.291  , WD  ,DC5    ,     0.68  ,  Ms  ,  1.3   ,  Re    ,  7120  , A  ,  45      ,    350       , 
WISEP J111448.80-261828.2        ,  1.992  ,-15.352  ,   9.573  , BD  ,T7.5   ,     32    ,  Mj  ,  0.96  ,  Rj    ,   670  ,    ,          ,              , 
Wolf 294                         ,-17.560  , -0.901  ,   4.756  , S   ,M3 V   ,     0.34  ,  Ms  ,  0.43  ,  Rs    ,  3320  ,    ,          ,              , 
